SYMBOL
SBIN.NS
IOC.NS
HDFCBANK.NS
POWERGRID.NS
RELIANCE.NS
HINDUNILVR.NS
DIVISLAB.NS
ICICIBANK.NS
SUNPHARMA.NS
NESTLEIND.NS
ASIANPAINT.NS
HDFC.NS
SBILIFE.NS
INFY.NS
ITC.NS
BHARTIARTL.NS
AXISBANK.NS
TITAN.NS
TATACONSUM.NS
BAJAJ-AUTO.NS
NTPC.NS
HDFCLIFE.NS
ULTRACEMCO.NS
BRITANNIA.NS
GRASIM.NS
KOTAKBANK.NS
TCS.NS
CIPLA.NS
HINDALCO.NS
ADANIPORTS.NS
JSWSTEEL.NS
BAJAJFINSV.NS
WIPRO.NS
ONGC.NS
BAJFINANCE.NS
COALINDIA.NS
BPCL.NS
UPL.NS
MARUTI.NS
SHREECEM.NS
DRREDDY.NS
HEROMOTOCO.NS
INDUSINDBK.NS
TATASTEEL.NS
EICHERMOT.NS
LT.NS
HCLTECH.NS
TECHM.NS
M&M.NS
TATAMOTORS.NS
ADANITRANS.NS
PNB.NS
ADANIGREEN.NS
PIDILITIND.NS
PGHH.NS
DABUR.NS
HAVELLS.NS
PIIND.NS
GODREJCP.NS
BERGEPAINT.NS
BAJAJHLDNG.NS
COLPAL.NS
ICICIPRULI.NS
PEL.NS
HINDPETRO.NS
DLF.NS
YESBANK.NS
MCDOWELL-N.NS
ADANIENT.NS
NAUKRI.NS
DMART.NS
LUPIN.NS
ICICIGI.NS
CHOLAFIN.NS
BANKBARODA.NS
ACC.NS
IGL.NS
HDFCAMC.NS
NMDC.NS
INDUSTOWER.NS
SIEMENS.NS
MARICO.NS
BANDHANBNK.NS
TORNTPHARM.NS
AMBUJACEM.NS
GLAND.NS
CADILAHC.NS
APOLLOHOSP.NS
MUTHOOTFIN.NS
GAIL.NS
BIOCON.NS
SAIL.NS
SBICARD.NS
JUBLFOOD.NS
LTI.NS
INDIGO.NS
JINDALSTEL.NS
AUROPHARMA.NS
BOSCHLTD.NS
VEDL.NS
ESCORTS.NS
DHANI.NS
GICRE.NS
VBL.NS
SOLARINDS.NS
BAYERCROP.NS
GODREJIND.NS
LINDEINDIA.NS
AAVAS.NS
DALBHARAT.NS
MOTILALOFS.NS
SRF.NS
TATACOMM.NS
ABFRL.NS
ATGL.NS
ASTRAL.NS
PHOENIXLTD.NS
AIAENG.NS
ENDURANCE.NS
PFIZER.NS
VOLTAS.NS
CASTROLIND.NS
WABCOINDIA.NS
MFSL.NS
PRESTIGE.NS
TIINDIA.NS
DEEPAKNTR.NS
ISEC.NS
ABBOTINDIA.NS
CUB.NS
LAURUSLABS.NS
CANBK.NS
ZYDUSWELL.NS
COROMANDEL.NS
APLAPOLLO.NS
IPCALAB.NS
SONACOMS.NS
CHOLAHLDNG.NS
ALKEM.NS
BALKRISIND.NS
NATCOPHARM.NS
SUNDARMFIN.NS
KAJARIACER.NS
POLYCAB.NS
SYNGENE.NS
SCHAEFFLER.NS
EXIDEIND.NS
JKCEMENT.NS
CUMMINSIND.NS
UNIONBANK.NS
3MINDIA.NS
IDEA.NS
GILLETTE.NS
BANKINDIA.NS
NAVINFLUOR.NS
LICHSGFIN.NS
CROMPTON.NS
FORTIS.NS
L&TFH.NS
LTTS.NS
IRCTC.NS
PAGEIND.NS
VINATIORGA.NS
PETRONET.NS
BATAINDIA.NS
WHIRLPOOL.NS
AARTIIND.NS
RECLTD.NS
UBL.NS
SKFINDIA.NS
SRTRANSFIN.NS
TTKPRESTIG.NS
DIXON.NS
TATACHEM.NS
LALPATHLAB.NS
IRFC.NS
SUPREMEIND.NS
PFC.NS
ABCAPITAL.NS
NHPC.NS
SUNDRMFAST.NS
M&MFIN.NS
RAMCOCEM.NS
HONAUT.NS
HAL.NS
IDFCFIRSTB.NS
CONCOR.NS
TRENT.NS
AJANTPHARM.NS
INDIANB.NS
INDIAMART.NS
BLUEDART.NS
VAIBHAVGBL.NS
SUVENPHAR.NS
RELAXO.NS
SANOFI.NS
ZEEL.NS
TVSMOTOR.NS
AUBANK.NS
RBLBANK.NS
INDHOTEL.NS
MRF.NS
NIACL.NS
RAJESHEXPO.NS
ALKYLAMINE.NS
SUMICHEM.NS
ABB.NS
OFSS.NS
EMAMILTD.NS
AMARAJABAT.NS
GODREJPROP.NS
FEDERALBNK.NS
ITI.NS
SUNTV.NS
HINDCOPPER.NS
BEL.NS
LODHA.NS
GLAXO.NS
MAXHEALTH.NS
BHEL.NS
MANAPPURAM.NS
AFFLE.NS
HATSUN.NS
BHARATFORG.NS
METROPOLIS.NS
TORNTPOWER.NS
OIL.NS
GUJGASLTD.NS
APOLLOTYRE.NS
HINDZINC.NS
TATAELXSI.NS
MINDAIND.NS
MINDTREE.NS
NATIONALUM.NS
MPHASIS.NS
PERSISTENT.NS
APLLTD.NS
OBEROIRLTY.NS
MGL.NS
THERMAX.NS
ATUL.NS
GLENMARK.NS
KANSAINER.NS
GSPL.NS
NAM-INDIA.NS
COFORGE.NS
ASHOKLEY.NS
CRISIL.NS
JSWENERGY.NS
TATAPOWER.NS
SCI.NS
HGS.NS
TANLA.NS
TRIDENT.NS
IRB.NS
TTML.NS
BSE.NS
TCIEXP.NS
BLUESTARCO.NS
GALAXYSURF.NS
CHAMBLFERT.NS
GREAVESCOT.NS
AMBER.NS
IDBI.NS
SUDARSCHEM.NS
KEI.NS
MAZDOCK.NS
IFBIND.NS
VARROC.NS
CGCL.NS
SOBHA.NS
RADICO.NS
MIDHANI.NS
GRANULES.NS
SPARC.NS
FINEORG.NS
ELGIEQUIP.NS
INDIACEM.NS
HEMIPROP.NS
KEC.NS
FLUOROCHEM.NS
EQUITASBNK.NS
JUBLPHARMA.NS
EQUITAS.NS
CSBBANK.NS
ROUTE.NS
ASTRAZEN.NS
ERIS.NS
PHILIPCARB.NS
NH.NS
INDOCO.NS
BIRLACORPN.NS
BHARATRAS.NS
CYIENT.NS
SFL.NS
UCOBANK.NS
KSB.NS
INDIGOPNTS.NS
FINPIPE.NS
SOLARA.NS
ASHOKA.NS
TASTYBITE.NS
HUDCO.NS
SUNTECK.NS
EDELWEISS.NS
SJVN.NS
POLYPLEX.NS
JAMNAAUTO.NS
LEMONTREE.NS
GMMPFAUDLR.NS
TATASTLLP.NS
JBCHEPHARM.NS
HEIDELBERG.NS
